Quote,,
Never give up - Aditya Talekar,,
Start each day with a positive thought and a grateful heart.,,
Be fearless in the pursuit of what sets your soul on fire.,,
Work hard in silence, let success be your noise. - Frank Ocean,
You miss 100% of the shots you don’t take. - Wayne Gretzky,,
Dream big and dare to fail. - Norman Vaughan,,
What you get by achieving your goals is not as important as what you become by achieving your goals. - Zig Ziglar,,
Do not wait to strike till the iron is hot; but make it hot by striking. - William Butler Yeats,,
Every accomplishment starts with the decision to try.,,
Don’t let what you cannot do interfere with what you can do. - John Wooden,,
Start where you are. Use what you have. Do what you can. - Arthur Ashe,,
The journey of a thousand miles begins with one step. - Lao Tzu,,
When everything seems to be going against you, remember that the airplane takes off against the wind, not with it. - Henry Ford
Tough times never last, but tough people do. - Robert H. Schuller,
